,0
FABP3,0.0
PEF1,0.15679307
BAI2,0.0
PTP4A2,1.2179937
RP4-622L5.7,0.02206062
TMEM234,1.2161399
MARCKSL1,0.0
FAM229A,1e-08
BSDC1,1.0042616
ZBTB8OS,0.9719225
SYNC,0.29584166
YARS,3.0173106
TMEM54,0.0
RNF19B,2.1709044
AK2,0.84418267
TRIM62,1.895268
PHC2,0.4498731
SMIM12,0.5064347
DLGAP3,1e-08
ZMYM6NB,0.0
ZMYM6,0.31610727
SFPQ,0.40591478
KIAA0319L,1.7201043
RP4-728D4.2,0.015093357
PSMB2,0.21709855
C1orf216,0.21058631
CLSPN,0.0077563906
RP4-789D17.5,0.0
COL8A2,0.0
TRAPPC3,0.23346426
EVA1B,0.0
STK40,0.72325695
LSM10,2.5640306
OSCP1,0.0
MRPS15,0.44233742
CSF3R,0.0
LINC01137,0.46934748
MEAF6,0.19826277
SNIP1,0.7893409
GNL2,0.57478225
C1orf109,0.5725308
YRDC,0.34635666
MTF1,1.1456032
INPP5B,1.5164878
SF3A3,0.47223955
FHL3,0.2520714
POU3F1,0.0
RRAGC,0.21935362
MYCBP,0.010498864
RHBDL2,0.0753833
RP11-69E11.4,1.2869756
PABPC4,0.27712017
HPCAL4,0.2765774
BMP8B,1e-08
TRIT1,1.3734691
MYCL,0.0
PPT1,0.6151591
RP1-39G22.7,0.0
COL9A2,0.0045690136
RP11-656D10.3,0.78607106
RIMS3,0.15092637
NFYC-AS1,0.0
CITED4,0.0
SLFNL1,1.0201063
SCMH1,7.3095703
HIVEP3,2.8456285
FOXJ3,3.0736125
ZMYND12,1e-08
LEPRE1,0.04456257
CCDC23,1.1417168
RP11-342M1.3,0.17289297
SLC2A1,0.29551
EBNA1BP2,0.17008622
RP1-92O14.3,1.2409078
ELOVL1,0.0022362135
MED8,0.88243854
HYI,0.106925316
KDM4A-AS1,0.81437236
RP11-7O11.3,1.4307263
ERI3,1.0615588
TMEM53,0.0055477135
RP11-269F19.2,1e-08
BEST4,0.0
PTCH2,0.28257123
EIF2B3,2.9148178
HECTD3,0.31883296
ZSWIM5,1.0193518
MUTYH,1.1584872
TESK2,3.271343
CCDC163P,0.1517339
PRDX1,0.053828295
CCDC17,1e-08
GPBP1L1,1.3077111
IPP,1.2205452
PIK3R3,0.57289034
POMGNT1,0.7832277
LRRC41,2.4196453
MKNK1,1.0887927
ATPAF1,0.8988505
EFCAB14,1.707491
PDZK1IP1,0.0
TAL1,0.0
STIL,0.0
FOXD2-AS1,0.0
SPATA6,0.31491697
BEND5,0.02972301
RP5-850O15.4,0.0
FAF1,2.3157902
RP11-296A18.3,0.0
RP11-296A18.6,0.0
TTC39A,1e-08
EPS15,2.9953876
NRD1,1.3311065
RAB3B,1e-08
TXNDC12,1.3210721
CC2D1B,1.6196096
ORC1,0.014226762
ZCCHC11,2.3604474
COA7,0.25043452
ECHDC2,1.4711508
SLC1A7,0.0
C1orf123,0.24565798
MAGOH,0.13102356
RP5-1024G6.8,0.0
LRP8,0.9330795
RP11-117D22.2,0.0
NDC1,1.1832776
YIPF1,1.512584
HSPB11,0.37262493
RP4-758J24.5,0.0
TMEM59,0.22160254
SSBP3,2.2956195
PARS2,0.5613085
TTC22,1e-08
DHCR24,0.044745576
USP24,1.538275
PPAP2B,0.0
DAB1,1.4245799
OMA1,0.27886388
MYSM1,1.1909553
JUN,0.0
RP4-794H19.1,0.0
CYP2J2,0.50417984
TM2D1,0.88130605
RP11-430G17.3,0.0
DOCK7,0.3972811
ITGB3BP,1.5497397
RP11-24J23.2,0.0
JAK1,1.0650098
RP11-182I10.3,0.24898273
RP4-535B20.4,0.0
RP4-535B20.1,0.0
WDR78,0.8116098
SLC35D1,1.1855965
SERBP1,0.16313559
GNG12,0.0
LRRC40,1.1612705
ANKRD13C,2.5635903
ZRANB2,0.5435098
NEGR1,0.0
C1orf173,1e-08
CRYZ,0.3245948
SLC44A5,1e-08
PIGK,0.9223243
ZZZ3,1.9223909
USP33,1.6422046
FUBP1,0.6550663
RP11-386I14.4,0.0
RP11-475O6.1,4.7481456
RP11-486G15.2,0.0
GNG5,0.03108775
CTBS,0.7051327
SSX2IP,0.47650036
LPAR3,0.7999183
MCOLN2,4.979191
MCOLN3,0.3746346
SYDE2,0.17603667
C1orf52,0.831392
BCL10,0.65297973
ZNHIT6,1.257526
COL24A1,2.1272988
ODF2L,1.3846788
RP4-612B15.3,0.0
SEP15,0.45231268
RP11-76N22.2,0.17598002
GTF2B,0.4490769
CCBL2,0.9947686
RBMXL1,0.0
GBP3,0.8441693
GBP1,0.24685968
GBP2,0.50306994
GBP4,0.26685825
GBP5,0.30198494
RP5-1007M22.2,1.5058649
RP5-943J3.2,0.0
ZNF644,1.8709805
TGFBR3,3.0606086
GLMN,1.61155
GFI1,0.5084111
EVI5,1.1312373
FAM69A,5.1343575
TMED5,0.8869558
BCAR3,0.836054
DNTTIP2,0.20461988
GCLM,0.6946953
F3,1e-08
CNN3,0.20561902
ALG14,1.4177946
DPYD,5.7587333
FRRS1,1e-08
RP5-884G6.2,1e-08
SASS6,0.669117
LRRC39,0.30954266
DBT,1.3738515
RP11-305E17.6,0.0
EXTL2,0.034155723
DPH5,0.51010025
RP4-575N6.4,1.0326194
VAV3,2.5860443
SLC25A24,0.9074776
HENMT1,0.10124977
CLCC1,0.33268425
WDR47,0.521575
TAF13,0.5028663
RP5-1065J22.8,0.0
PSRC1,0.021570744
SORT1,0.0
PSMA5,0.42360848
AMIGO1,0.0
GNAT2,1e-08
GSTM3,0.09340361
ALX3,0.0
RP5-1074L1.1,1.5913261
SLC16A4,0.0
LAMTOR5,0.07314215
RP11-284N8.3,0.0
KCNA3,0.0
LRIF1,0.89765424
DRAM2,0.5345285
RP5-1180E21.4,0.0
RP5-1180E21.5,0.0
DENND2D,0.31462184
OVGP1,0.08368181
WDR77,0.45090014
ADORA3,0.0
KCND3,0.00068002916
ST7L,0.8695929
RP11-426L16.3,2.745464
RHOC,0.0
SLC16A1,0.7231604
RP11-31F15.2,1.5453131
PHTF1,2.6548784
RSBN1,0.60022223
PTPN22,3.9627035
BCL2L15,1e-08
AP4B1,0.49840227
RP5-1073O3.7,0.13062865
TRIM33,1.3911065
BCAS2,0.0575321
DENND2C,0.8589454
NRAS,0.5581704
CSDE1,0.36491805
SIKE1,0.24611585
TSPAN2,0.62853754
RP4-655J12.4,1.5858451
RP5-1086K13.1,1e-08
CD58,1.4597971
IGSF3,0.0
RP11-27K13.3,1e-08
RP11-188D8.1,0.0
GDAP2,1.1786708
WARS2,1.3544106
ZNF697,0.0
REG4,0.00014048255
NOTCH2,1.424537
FCGR1B,0.0
RP11-344P13.4,0.0
RP11-344P13.6,0.0
RP11-423O2.5,0.0801914
RP11-782C8.5,0.0
RP11-435B5.4,1e-08
PPIAL4G,0.0
FAM72D,1e-08
LINC00623,1.6471906
RP11-640M9.1,4.544904
RP4-791M13.3,0.0
PDE4DIP,3.8588626
POLR3GL,0.43106735
RP11-315I20.1,0.69681877
NUDT17,0.6549608
POLR3C,1.9451048
CD160,0.0
GPR89A,1.3445592
NBPF11,1e-08
PRKAB2,0.7038694
FMO5,0.045140464
ACP6,0.67245334
NBPF14,0.3656179
RP11-89F3.2,0.37264705
NBPF20,0.09010614
RP5-998N21.4,0.0
RP11-277L2.3,0.99798155
HIST2H2BE,0.0
HIST2H2AB,0.0
SV2A,1e-08
SF3B4,0.28495502
MTMR11,0.0
OTUD7B,1.3111619
ANP32E,0.30082363
APH1A,0.11799391
ADAMTSL4-AS1,0.0
MCL1,0.0067245252
ENSA,4.0557785
GOLPH3L,1.8566144
HORMAD1,0.014066331
CTSS,1.1420265
CTSK,0.0736985
ARNT,1.4975113
CERS2,0.05736657
FAM63A,0.42076242
CDC42SE1,0.6405944
LYSMD1,0.0041604117
VPS72,0.54628
RP11-126K1.2,0.0
PI4KB,1.1980351
RFX5,0.46781063
SELENBP1,0.0
POGZ,2.0317683
MRPL9,0.6029917
TDRKH,1.0742251
LINGO4,0.0
RORC,0.17966108
THEM4,1.1048856
S100A10,0.046248507
S100A11,0.030314092
TCHH,0.0
PGLYRP4,0.5533776
S100A12,0.0
S100A8,0.0
S100A6,0.042738233
S100A5,0.0
S100A4,0.020274673
S100A2,0.0
S100A14,0.0
S100A13,0.1338295
ILF2,0.14846224
GATAD2B,2.3248596
DENND4B,0.9215323
CRTC2,0.08386563
SLC39A1,0.17751987
JTB,0.12513338
RAB13,0.0
NUP210L,0.19244765
TPM3,0.30121022
C1orf189,0.2580296
C1orf43,0.5157136
RP11-350G8.5,1e-08
UBE2Q1,0.30451527
ADAR,0.38394922
PMVK,0.29763162
PBXIP1,0.27409592
PYGO2,0.28183177
SHC1,0.13614741
DCST2,0.09564809
DPM3,0.21343486
KRTCAP2,0.080476865
MUC1,1e-08
THBS3,0.23603421
GBA,0.3547995
FAM189B,0.0
SCAMP3,0.6502043
CLK2,0.54839146
RUSC1-AS1,0.0
ASH1L,1.4055442
RP11-29H23.4,0.0
YY1AP1,0.96494734
RP11-243J18.2,1e-08
GON4L,1.2989008
RIT1,0.39441824
KIAA0907,1.4925672
ARHGEF2,1.6971478
SSR2,0.153765
UBQLN4,0.36726588
MEX3A,0.0
PAQR6,0.0
SMG5,1.4345753
C1orf85,0.87536895
CCT3,0.39052865
C1orf61,0.1253394
MEF2D,0.7982812
GPATCH4,0.61474
CRABP2,0.0
ISG20L2,0.24763298
MRPL24,0.67901146
HDGF,0.18294792
SH2D2A,0.1936651
INSRR,0.0
ARHGEF11,0.013006923
ETV3L,0.0
ETV3,0.92871064
FCRL5,0.0
FCRL4,0.0
FCRL3,3.080183
FCRL2,0.0
FCRL1,0.0
AIM2,1.3102641
C1orf204,0.031459868
CCDC19,0.23415086
TAGLN2,0.06580183
IGSF9,0.0
SLAMF9,0.0
PIGM,0.0
IGSF8,0.13035806
RP11-536C5.7,1e-08
DCAF8,0.41127047
PEX19,0.008379043
COPA,2.4745417
SLAMF6,1.686069
CD84,0.1520002
SLAMF1,1.2174313
CD48,0.12626997
CD244,2.4104986
F11R,0.0
TSTD1,0.33175585
USF1,0.6966158
ARHGAP30,1.0029073
PVRL4,0.0
PFDN2,0.119399376
DEDD,0.4075021
RP11-297K8.2,1e-08
B4GALT3,0.042917933
ADAMTS4,0.0031021
MPZ,0.043690532
FCGR3A,0.016402287
RP11-474I16.8,0.0
SH2D1B,1.3669508
RP11-359K18.3,0.0
ALDH9A1,0.3449733
RP11-466F5.10,0.0
TMCO1,0.5495976
RP11-276E17.2,1e-08
TADA1,0.5932237
GPA33,0.9142451
RP11-277B15.3,0.0
CD247,1.3876674
CREG1,0.06311266
RP3-455J7.4,0.0
MPC2,0.13431436
XCL2,0.0
NME7,2.0111659
SLC19A2,0.15798627
F5,1.1657002
SELP,0.19677345
SELL,0.4127057
METTL18,0.0077042854
SCYL3,1.111749
KIFAP3,1.0268444
VAMP4,0.93130535
PIGC,1.0109447
TNFSF4,1e-08
RP11-296O14.3,1.7865773
CENPL,0.26793224
RC3H1,2.7039883
RP11-160H22.5,0.32621658
MRPS14,5.391406
KIAA0040,0.6630429
RFWD2,5.425669
RP11-428K3.1,0.0
ABL2,1.8450447
TOR1AIP2,0.86140317
RP11-533E19.7,0.0
RP11-533E19.5,0.0
RP5-1180C10.2,1e-08
ACBD6,1.9862792
RP11-46A10.5,1e-08
STX6,1.5717767
GLUL,0.029052828
RNASEL,0.70251155
RGS16,0.012109202
NCF2,0.5414929
ARPC5,0.76406336
EDEM3,1.4619151
FAM129A,14.078104
TRMT1L,0.7957622
IVNS1ABP,0.50723445
TPR,0.366701
PTGS2,0.0023430395
RP5-1011O1.2,2.0027764
UCHL5,0.7471718
RP11-101E13.5,0.0
GLRX2,0.032896753
B3GALT2,0.24088003
RP11-476B1.1,0.0
ASPM,0.084680215
ZBTB41,0.3390333
DENND1B,2.604692
ATP6V1G3,0.007014754
RP11-553K8.5,0.40599474
MIR181A1HG,0.07985982
LINC00862,0.0
ZNF281,0.19672114
KIF14,1e-08
DDX59,0.7653459
KIF21B,0.38428208
TMEM9,0.088762835
TNNT2,0.0
LAD1,0.0
PHLDA3,0.0
CSRP1,0.21068566
ARL8A,0.46773598
PTPN7,0.8657907
UBE2T,0.20712087
KDM5B,1.2646948
RABIF,0.27021825
KLHL12,1.4636755
ADIPOR1,0.50295854
CYB5R1,0.7378318
CHI3L1,0.0
LINC01136,0.0074304566
ETNK2,0.055067398
PLEKHA6,0.9690669
PPP1R15B,0.13998662
PIK3C2B,1.2210536
TMEM81,0.0
RBBP5,0.9475224
DSTYK,1.0238941
NUAK2,1.4987906
ELK4,0.31375897
SLC45A3,0.0
NUCKS1,0.41299468
RAB7L1,0.24760212
SLC41A1,0.429195
SLC26A9,0.0
RP11-312O7.2,1e-08
C1orf186,9.99171
SRGAP2-AS1,0.0
EIF2D,0.75875074
RP11-343H5.6,0.0
IL10,0.02148031
FAIM3,0.8885915
YOD1,0.021061001
LAMB3,0.0
RP1-28O10.1,0.33429587
C1orf74,0.0
IRF6,1e-08
SLC30A1,0.0
LPGAT1,2.2692704
INTS7,1.277299
RP11-384C4.7,1.9478234
TMEM206,0.7506675
RP11-338C15.3,0.0
BATF3,0.09029635
NSL1,1.8938271
FLVCR1-AS1,0.73239636
ANGEL2,1.3974444
PTPN14,0.7732126
GPATCH2,0.8982553
RP11-135J2.4,0.0
EPRS,0.6268585
BPNT1,0.92041653
RAB3GAP2,1.7749374
DUSP10,0.5875481
RP11-815M8.1,0.0
RP11-400N13.3,0.0
TAF1A,0.28875574
RP11-378J18.8,0.0
AIDA,0.60634583
TLR5,0.60011107
SUSD4,0.91438216
TP53BP2,1.0021601
RP11-504P24.8,0.0
NVL,2.4793718
WDR26,1.1435078
LBR,0.87940407
RP11-285F7.2,1.5461972
TMEM63A,1.2545968
PYCR2,1e-08
SDE2,0.4291143
ACBD3,2.698951
LIN9,1.1560513
PARP1,0.26873404
ITPKB,2.124363
CDC42BPA,1e-08
JMJD4,0.16361794
C1orf35,0.02589699
MRPL55,0.17433001
C1orf145,1e-08
TRIM11,0.0
HIST3H2A,0.0
CCSAP,0.7498669
NUP133,1.8731073
ABCB10,0.53025657
TAF5L,0.685784
C1orf198,1e-08
TTC13,1.0335382
FAM89A,0.65249264
C1orf131,0.3541606
EXOC8,0.0
EGLN1,0.7928294
RP11-295G20.2,0.030186335
LINC00582,0.0
SIPA1L2,0.12518705
PCNXL2,4.0016155
RP5-827C21.4,0.8010693
TARBP1,0.2475254
IRF2BP2,0.00425313
RP4-781K5.6,0.0
RP11-443B7.1,0.0
RP11-443B7.3,0.0
RP4-597N16.4,0.0
TOMM20,0.19720992
RBM34,0.011756571
ARID4B,0.8411446
B3GALNT2,0.49106544
GNG4,0.0
LYST,2.1210597
NID1,0.062382583
ERO1LB,1.6503404
LGALS8-AS1,0.0
RP11-385F5.5,0.0
RP11-385F5.4,0.0
HEATR1,0.8794467
MT1HL1,0.0
GREM2,7.38949
FH,0.2335988
RP11-261C10.3,0.013538994
CEP170,1.3650297
AKT3,2.6719487
RP11-518L10.5,1.2497786
ADSS,0.9122955
HNRNPU-AS1,0.49003923
HNRNPU,0.37454438
RP11-156E8.1,0.0
SMYD3,7.1278577
TFB2M,0.59609723
AHCTF1,0.7514801
ZNF669,0.3269015
ZNF124,1.6472803
RP11-488L18.10,0.0
RP11-488L18.8,0.0
ZNF496,1.1660432
SH3BP5L,0.4355126
ZNF692,0.2614964
RP11-206L10.9,0.0
KLHL17,0.0
PLEKHN1,0.07580755
ISG15,0.00017468179
AGRN,0.17371738
B3GALT6,0.0
SCNN1D,0.0
PUSL1,0.0
GLTPD1,0.0
RP4-758J18.2,0.15572305
RP4-758J18.13,0.0
ATAD3C,1e-08
ATAD3B,0.5251763
ATAD3A,0.11011242
AL645728.1,0.0
MIB2,0.116659276
MMP23B,0.0
RP11-345P4.10,1e-08
RP11-345P4.7,0.0
RP1-140A9.1,0.0
PRKCZ,0.89552927
AL590822.2,0.0
SKI,1.063613
RER1,0.09962129
PLCH2,0.065027975
RP3-395M20.12,0.0
TNFRSF14,0.28617597
RP3-395M20.9,0.28353372
FAM213B,0.0
PRDM16,1e-08
TPRG1L,0.008017919
SMIM1,0.0038254065
RP1-286D6.5,0.0
DFFB,1.0209024
LINC01134,0.0
KCNAB2,1.6483022
RNF207,1e-08
LINC00337,0.0
RP1-202O8.3,0.0
ESPN,0.049510065
ZBTB48,0.606867
PHF13,0.13642438
THAP3,0.3562814
CAMTA1,2.294942
VAMP3,0.21334407
PER3,2.7038078
PARK7,0.08012173
SLC45A1,0.044215303
RP5-1115A15.1,0.8961176
ENO1-AS1,0.06579625
CA6,1.3192477
RP3-510D11.2,0.0
H6PD,1.5874013
SPSB1,1.4993345
SLC25A33,1.2458339
TMEM201,1e-08
PIK3CD,6.3308244
NMNAT1,0.9646114
UBE4B,2.2012253
KIF1B,3.23532
PGD,0.39879718
APITD1,0.0082466435
APITD1-CORT,0.19040167
CORT,0.0
RP5-1113E3.3,0.0
PEX14,1.96381
TARDBP,1.1451182
RP4-635E18.8,0.0
RP4-635E18.7,1.7371521
UBIAD1,4.294086
FBXO44,1.2151233
FBXO6,0.6503883
DRAXIN,0.0
AGTRAP,0.07311813
CLCN6,1.2453185
NPPA-AS1,0.32172072
PLOD1,1e-08
MFN2,1.1506052
MIIP,0.10876471
TNFRSF8,4.571944
TNFRSF1B,0.5236349
VPS13D,2.3059714
PDPN,0.0
PRDM2,1.7162578
TMEM51,1e-08
FHAD1,1e-08
EFHD2,0.34590104
CTRC,1e-08
DNAJC16,0.0
DDI2,1.3431032
PLEKHM2,1.8675133
SLC25A34,0.095714115
FBLIM1,1e-08
SPEN,0.7690416
SZRD1,0.56369656
NECAP2,1.1227732
RP4-798A10.2,0.3815925
RP4-798A10.7,0.0
CROCC,1.0578899
PADI4,0.13048236
ARHGEF10L,1e-08
RP1-43E13.2,1.3450366
MRTO4,0.49361637
PQLC2,0.052466713
MINOS1,1e-08
NBL1,0.0
OTUD3,0.9020314
UBXN10,0.031052563
CDA,0.0
PINK1,0.8386764
RP5-930J4.4,1e-08
RP5-1071N3.1,0.52416706
NBPF3,0.28394103
LINC00339,1.0581568
CDC42,0.17097583
RP1-224A6.9,0.0
ZBTB40,0.9273656
C1QA,0.0
C1QC,0.0
C1QB,0.0
KDM1A,1.1397872
C1orf213,0.03494241
MDS2,1.5376229
RPL11,0.019588325
TCEB3,0.23495106
PITHD1,0.8816229
LYPLA2,0.020231549
PNRC2,0.3235234
NIPAL3,1.369376
RCAN3,2.1466103
NCMAP,0.3584627
SRRM1,0.33270022
CLIC4,0.18985598
RP3-465N24.6,0.0
RHD,1e-08
TMEM50A,0.30130917
TMEM57,1.4545852
LDLRAP1,0.31070608
RP11-70P17.1,0.71725863
MAN1C1,5.726485
MTFR1L,0.17494527
PDIK1L,0.8075137
ZNF593,0.06816589
CNKSR1,0.03365648
CEP85,0.2834094
SH3BGRL3,0.023100719
CD52,0.3789132
DHDDS,1.3790251
HMGN2,0.6333504
RPS6KA1,0.56718093
ARID1A,1.3462977
PIGV,0.5380737
ZDHHC18,0.95087284
SFN,0.0
NUDC,0.11610273
WDTC1,1.2994653
TMEM222,0.5318937
SYTL1,0.7496619
RP1-159A19.4,1e-08
FAM76A,0.95636714
STX12,1.7571002
PPP1R8,1.7261634
THEMIS2,0.25495604
SMPDL3B,1e-08
XKR8,0.0
ATPIF1,0.51844686
RP5-1092A3.5,0.0
SESN2,0.66546804
MED18,1.1942174
PHACTR4,1.5883343
RCC1,1.280651
TRNAU1AP,1.0972203
RP11-442N24__B.1,0.44073743
RNU11,0.0
GMEB1,0.6624849
YTHDF2,0.4284927
EPB41,2.2494843
RP11-242O24.5,1e-08
MATN1-AS1,0.10122715
ZCCHC17,0.72583085
SERINC2,1e-08
AL136115.1,0.0
KHDRBS1,2.741607
TMEM39B,0.48372215
KPNA6,1.062416
TXLNA,0.52006346
CCDC28B,0.47091556
IQCC,0.0
EIF3I,0.10934806
FAM167B,0.0
LCK,0.47217685
HDAC1,0.9930198
TSSK3,0.21834339
ZBTB8A,0.025719801
RBBP4,1.4576429
KIAA1522,1e-08
S100PBP,2.1068919
ADC,0.49296585
ZNF362,0.595461
ZSCAN20,0.0
GJA4,0.0
ZMYM1,1.1588454
ZMYM4,1.5110345
NCDN,1e-08
TFAP2E,0.549363
AGO4,3.2191849
AGO1,0.49606907
AGO3,1.9389023
ADPRHL2,0.53223085
MAP7D1,0.6184433
THRAP3,0.484172
SH3D21,0.17696038
RP11-268J15.5,2.427779
ZC3H12A,0.021098524
CDCA8,1e-08
MANEAL,1e-08
C1orf122,0.0
RP11-109P14.10,1.2789065
UTP11L,0.12720858
RP5-864K19.4,1.3795108
AKIRIN1,0.6587452
NDUFS5,0.07401038
MACF1,1.7352436
PPIE,0.52150965
MFSD2A,0.6922476
CAP1,0.24677487
RLF,1.0366846
ZMPSTE24,0.91589147
SMAP2,1.2960275
ZFP69B,0.17156447
ZFP69,1e-08
EXO5,0.0057187844
ZNF684,0.811902
NFYC,3.044243
CTPS1,2.1331656
RIMKLA,0.06865336
PPCS,1.2926801
CCDC30,0.48485225
PPIH,0.77478856
YBX1,0.14067137
C1orf50,1.62901
ERMAP,0.65792847
ZNF691,0.7256481
SLC2A1-AS1,0.15986107
CDC20,0.0
SZT2,2.4947288
PTPRF,0.0
KDM4A,0.98644316
ST3GAL3,4.6229906
IPO13,1e-08
DPH2,0.0
ATP6V0B,0.07925742
B4GALT2,0.023606194
CCDC24,0.23982152
DMAP1,0.33725247
RNF220,0.14145058
C1orf228,0.887532
KIF2C,0.19174643
RPS8,0.5922257
PLK3,0.2910195
BTBD19,0.16483682
UROD,0.42617312
HPDL,0.0
TOE1,0.08951934
MMACHC,0.27215183
AKR1A1,0.6230346
NASP,0.6784348
TMEM69,0.7052932
MAST2,1.3014413
LURAP1,1e-08
RAD54L,0.09436369
UQCRH,0.23224726
NSUN4,1.2473162
FAAH,1e-08
LINC00505,0.0
CMPK1,0.42281303
FOXD2,0.0
CDKN2C,0.11420553
RNF11,0.6043564
RP11-275F13.1,1e-08
RP11-191G24.1,1.6251216
OSBPL9,1.3592793
RP4-657D16.3,0.0
BTF3L4,0.51982415
ZFYVE9,3.8501923
PRPF38A,0.1437971
GPX7,0.92325723
FAM159A,2.3777602
ZYG11B,1.1115687
ZYG11A,1e-08
SCP2,0.42069015
CPT2,0.8571836
RP5-1024G6.7,0.0
RP4-784A16.5,0.13104689
LRRC42,0.7640317
TCEANC2,1.7740439
MRPL37,0.43411252
RP5-997D24.3,1.0072192
ACOT11,0.0
TTC4,0.0
LINC01135,1.9767947
RP4-794H19.4,1.4095587
RP11-145M4.3,0.53079814
FGGY,3.505481
RP4-782L23.1,1e-08
HOOK1,0.7555863
NFIA,1.951168
INADL,2.5910904
L1TD1,0.0
USP1,0.36709037
ATG4C,0.7286658
ALG6,0.95777065
EFCAB7,2.9814544
DLEU2L,0.061913684
PGM1,0.46078342
RAVER2,0.9422003
AK4,0.18942553
DNAJC6,0.53746843
LEPR,1.164058
LEPROT,0.012148192
PDE4B,2.1182559
TCTEX1D1,0.0
MIER1,0.48440105
IL23R,2.419684
IL12RB2,16.693787
GADD45A,0.0
LRRC7,3.2495494
SRSF11,0.16614912
HHLA3,0.9543367
CTH,0.110692635
FPGT,0.6174399
TYW3,1.090458
ACADM,1.697161
RABGGTB,0.3469291
ST6GALNAC3,4.8987894
RP5-1102E8.3,0.0
